step,temp,current_cost,best_cost
21040,35.98,6147.5,6024.6
21080,35.8,6056.2,6024.6
21120,35.62,6031.9,5916.5
21160,35.45,6102.5,5916.5
21200,35.27,6102.5,5916.5
21240,35.09,6197.7,5916.5
21280,34.92,6137.3,5916.5
21320,34.74,6127.1,5916.5
21360,34.57,5977.0,5916.5
21400,34.39,6050.8,5916.5
21440,34.22,6099.3,5916.5
21480,34.05,6103.7,5916.5
21520,33.88,6131.6,5916.5
21560,33.71,6205.0,5916.5
21600,33.54,6316.2,5916.5
21640,33.38,6265.4,5916.5
21680,33.21,6135.3,5916.5
21720,33.04,6047.8,5916.5
21760,32.88,6257.7,5916.5
21800,32.71,6231.2,5916.5
21840,32.55,6231.2,5916.5
21880,32.39,6335.0,5916.5
21920,32.23,6335.0,5916.5
21960,32.06,6260.3,5916.5
22000,31.9,6259.6,5916.5
22040,31.74,6229.0,5916.5
22080,31.59,6135.9,5916.5
22120,31.43,6222.7,5916.5
22160,31.27,6081.3,5916.5
22200,31.11,6088.8,5916.5
22240,30.96,5997.7,5916.5
22280,30.8,6074.1,5916.5
22320,30.65,6075.5,5916.5
22360,30.5,5998.4,5916.5
22400,30.34,6103.2,5916.5
22440,30.19,5975.8,5916.5
22480,30.04,5924.3,5912.1
22520,29.89,5840.6,5840.6
22560,29.74,5840.6,5767.6
22600,29.59,5860.0,5767.6
22640,29.44,5692.5,5692.5
22680,29.3,5681.4,5681.4
22720,29.15,5694.0,5681.4
22760,29.01,5732.7,5664.8
22800,28.86,5654.5,5654.5
22840,28.72,5654.5,5654.5
22880,28.57,5703.7,5654.5
22920,28.43,5703.7,5654.5
22960,28.29,5735.8,5654.5
23000,28.15,5682.4,5654.5
23040,28.01,5831.7,5648.0
23080,27.87,5817.3,5648.0
23120,27.73,5691.6,5648.0
23160,27.59,5692.1,5648.0
23200,27.45,5719.7,5648.0
23240,27.31,5719.7,5648.0
23280,27.18,5722.1,5648.0
23320,27.04,5664.7,5648.0
23360,26.9,5638.7,5638.7
23400,26.77,5660.2,5638.7
23440,26.64,5614.3,5614.3
23480,26.5,5542.5,5542.5
23520,26.37,5537.3,5512.7
23560,26.24,5537.3,5512.7
23600,26.11,5537.3,5512.7
23640,25.98,5537.3,5512.7
23680,25.85,5505.0,5452.1
23720,25.72,5505.0,5452.1
23760,25.59,5505.0,5452.1
23800,25.46,5505.0,5452.1
23840,25.33,5505.0,5452.1
23880,25.21,5494.6,5452.1
23920,25.08,5506.6,5452.1
23960,24.96,5443.8,5443.8
24000,24.83,5443.8,5443.8
24040,24.71,5490.8,5443.8
24080,24.58,5561.3,5443.8
24120,24.46,5531.5,5443.8
24160,24.34,5522.0,5443.8
24200,24.22,5527.9,5443.8
24240,24.1,5527.9,5443.8
24280,23.97,5527.9,5443.8
24320,23.86,5490.3,5443.8
24360,23.74,5540.9,5443.8
24400,23.62,5540.9,5443.8
24440,23.5,5483.3,5443.8
24480,23.38,5490.4,5443.8
24520,23.26,5460.1,5443.8
24560,23.15,5623.8,5443.8
24600,23.03,5557.4,5443.8
24640,22.92,5492.3,5443.8
24680,22.8,5500.3,5443.8
24720,22.69,5481.2,5443.8
24760,22.58,5408.0,5408.0
24800,22.46,5418.6,5408.0
24840,22.35,5471.7,5408.0
24880,22.24,5395.3,5395.3
24920,22.13,5356.3,5325.8
24960,22.02,5452.1,5325.8
25000,21.91,5453.7,5325.8
25040,21.8,5482.3,5325.8
25080,21.69,5484.6,5325.8
25120,21.58,5456.0,5325.8
25160,21.47,5513.6,5325.8
25200,21.36,5556.4,5325.8
25240,21.26,5588.6,5325.8
25280,21.15,5582.9,5325.8
25320,21.05,5566.4,5325.8
25360,20.94,5593.5,5325.8
